"square_meters","bathrooms_number","lift","rooms_number","car_parking","condominium_fees","conditions","floor","heating_centralized","selling_price","fireplace","hydromassage","video_entryphone","terrace","security_door","tavern","optic_fiber","electric_gate","pool","tennis_court","alarm_system","attic","balcony","cellar","closet","reception","concierge","furnished","garden","exposure","window_glass","window_material","zona_new","year","total_floors","house_efficiency"
130,"2","yes","4","none",0,"new / under construction","2","central",1110000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","pagano","Old",6,"Low"
75,"1","yes","3","none",217,"excellent / refurbished","1","central",335000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",1,0.5,"no garden","double","other","other","tre castelli - faenza","Modern",8,"Low"
65,"1","no","2","none",150,"good condition / liveable","2","central",208000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no",0,0,"shared","other","other","other","crescenzago","Old",4,"Low"
133,"2","no","3","garage/box",42,"excellent / refurbished","ground floor","independent",525000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","no","no","no",0,0.5,"shared","double","other","other","viale ungheria - mecenate","Recent/New",3,"High"
68,"1","no","2","none",10,"excellent / refurbished","1","independent",355000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","no","no","yes","no",0,0,"no garden","single","other","other","cascina dei pomi","Recent/New",1,"High"
68,"1","no","2","none",150,"good condition / liveable","mezzanine","central",159000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no",0,0,"no garden","single","other","other","san siro","Old",4,"Low"
130,"2","yes","4","none",600,"to be refurbished","1","central",1250000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","single","other","wood","san vittore","Very Old",5,"Med"
87,"1","yes","3","none",167,"good condition / liveable","mezzanine","central",210000,"no","no","no","no","yes","no","no","yes","no","no","no","no","yes","yes","no","no",1,0,"shared","single","other","other","baggio","Modern",6,"Med"
40,"1","yes","2","none",167,"to be refurbished","ground floor","independent",350000,"no","no","no","no","yes","yes","yes","no","no","no","no","no","no","yes","yes","no",0,0,"private","single","other","other","isola","Very Old",3,"Low"
90,"1","yes","3","none",167,"excellent / refurbished","7","independent",340000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0,"shared","double","other","wood","tre castelli - faenza","Modern",8,"Low"
158,"2","yes","4","none",0,"new / under construction","5","central",730400,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0,"shared","double","other","other","cantalupa - san paolo","Recent/New",6,"High"
112,"2","yes","4","none",260,"good condition / liveable","4","central",345000,"no","no","yes","no","no","no","yes","no","no","no","yes","no","yes","yes","no","no",0,1,"no garden","other","other","wood","corvetto","Old",6,"Low"
75,"1","yes","2","none",208,"good condition / liveable","1","central",199000,"no","no","yes","no","no","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0,"no garden","other","other","other","gallaratese","Modern",7,"Med"
51,"1","no","2","none",70,"excellent / refurbished","1","independent",250000,"no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",0,1,"shared","other","other","other","bruzzano","Modern",3,"Med"
110,"2","yes","4","none",0,"new / under construction","1","central",816000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","indipendenza","Old",8,"Low"
75,"1","yes","2","none",208,"good condition / liveable","4","central",220000,"no","no","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","other","other","other","bisceglie","Modern",6,"Low"
117,"2","yes","3","garage/box",0,"new / under construction","ground floor","independent",365000,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",0,0,"private","other","other","other","quinto romano","Recent/New",2,"High"
185,"3","yes","4","garage/box and shared",600,"excellent / refurbished","3","central",1700000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",1,0.5,"no garden","other","other","other","amendola - buonarroti","Modern",7,"Low"
100,"1","yes","3","garage/box",300,"good condition / liveable","1","central",450000,"no","no","yes","no","yes","no","yes","yes","no","no","no","yes","yes","yes","yes","no",0,0.5,"shared","double","other","wood","portello - parco vittoria","Modern",3,"Low"
180,"3","yes","5","none",642,"excellent / refurbished","4","central",1180000,"no","no","yes","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","other","other","other","città studi","Old",6,"Low"
114,"2","no","3","garage/box and shared",0,"good condition / liveable","1","independent",240000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"private","double","other","other","baggio","Very Old",1,"Low"
100,"2","yes","3","none",200,"to be refurbished","5","central",640000,"yes","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","yes","no",1,0,"no garden","double","other","wood","porta venezia","Very Old",5,"Low"
270,"1","no","5","none",180,"excellent / refurbished","ground floor","independent",470000,"no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","no","no","no",0,0,"no garden","single","other","other","dergano","Recent/New",1,"Med"
162,"2","yes","4","none",380,"excellent / refurbished","1","central",790000,"no","yes","yes","no","yes","no","yes","no","no","no","yes","no","yes","yes","no","no",0.5,0,"no garden","double","other","other","pasteur","Modern",8,"Med"
94,"2","yes","3","none",200,"new / under construction","2","central",370000,"no","no","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,0,"shared","single","other","other","viale ungheria - mecenate","Recent/New",7,"High"
65,"1","yes","2","none",150,"new / under construction","5","central",379500,"no","no","yes","yes","yes","no","yes","yes","yes","no","no","no","no","yes","no","no",1,0,"shared","single","other","other","cascina merlata - musocco","Recent/New",23,"High"
61,"1","yes","2","none",0,"excellent / refurbished","2","independent",425900,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","yes","no",0,0,"no garden","single","other","wood","porta romana - medaglie d'oro","Very Old",5,"Low"
90,"1","yes","3","none",267,"good condition / liveable","4","central",625000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",0.5,0,"no garden","double","other","other","città studi","Very Old",4,"Low"
64,"1","yes","2","none",35,"excellent / refurbished","mezzanine","independent",259000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","no","yes","yes","no",0,0,"no garden","single","other","other","dergano","Recent/New",2,"Med"
50,"1","yes","2","none",150,"new / under construction","ground floor","central",359000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","yes","no","no",1,1,"no garden","single","other","other","porta romana - medaglie d'oro","Old",8,"Med"
122,"2","yes","3","garage/box",180,"excellent / refurbished","4","independent",399000,"no","no","yes","yes","yes","no","no","no","no","yes","no","no","yes","yes","no","no",0,0.5,"no garden","double","other","other","niguarda","Recent/New",5,"Med"
55,"1","yes","1","none",133,"good condition / liveable","2","central",198000,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no",0,0,"no garden","single","other","other","bovisa","Modern",4,"Low"
95,"1","yes","3","garage/box",140,"to be refurbished","2","independent",620000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","yes","no",0.5,0,"shared","double","other","wood","porta romana - medaglie d'oro","Old",5,"Low"
60,"2","no","3","none",78,"excellent / refurbished","semi-basement","central",249000,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no",0,0,"shared","double","other","other","cimiano","Modern",5,"Low"
115,"2","yes","4","garage/box",133,"good condition / liveable","2","independent",415000,"no","no","yes","yes","yes","no","no","yes","no","no","no","no","yes","yes","no","no",0,0,"shared","double","other","wood","quartiere adriano","Recent/New",6,"Med"
135,"1","no","3","none",300,"to be refurbished","mezzanine","independent",830000,"no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no",0,0,"no garden","double","other","wood","arco della pace","Very Old",3,"Low"
140,"3","yes","5","none",350,"excellent / refurbished","ground floor","central",845000,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no",0,0.5,"no garden","other","other","other","corso genova","Very Old",3,"Low"
56,"1","yes","2","garage/box",101,"excellent / refurbished","4","independent",470000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","yes","no",0,1,"shared","single","other","other","piave - tricolore","Modern",7,"High"
50,"1","yes","2","none",60,"excellent / refurbished","1","independent",395000,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no",0,0,"shared","double","other","wood","porta venezia","Very Old",4,"Low"
130,"1","yes","4","none",375,"to be refurbished","mezzanine","central",780000,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",1,0,"shared","double","other","other","dezza","Very Old",5,"Low"
70,"1","yes","2","none",200,"excellent / refurbished","4","central",269000,"no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no",1,0,"no garden","double","other","other","piazzale siena","Old",7,"Low"
28,"1","no","1","none",50,"good condition / liveable","4","independent",85000,"no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no",0,0,"no garden","single","other","other","parco trotter","Very Old",4,"Low"
90,"2","yes","3","none",300,"excellent / refurbished","1","central",470000,"no","no","yes","no","yes","no","yes","yes","no","no","no","yes","yes","no","no","no",1,0,"no garden","single","other","other","pezzotti - meda","Modern",6,"Med"
80,"2","no","2","none",66,"excellent / refurbished","1","independent",460000,"no","no","no","no","yes","no","yes","no","no","no","no","yes","yes","no","yes","no",0,0.5,"no garden","single","other","wood","cadore","Very Old",2,"Low"
140,"2","yes","5","none",0,"new / under construction","3","central",1017000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","other","other","other","repubblica","Old",5,"Low"
159,"2","yes","4","garage/box",200,"new / under construction","2","independent",570000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","yes","yes","yes","no","no",0,0,"shared","double","triple","other","quinto romano","Recent/New",3,"High"
60,"1","yes","2","none",200,"excellent / refurbished","4","central",249000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",0,0.5,"no garden","single","other","other","molise - cuoco","Old",5,"Low"
45,"1","no","1","none",0,"good condition / liveable","3","central",169000,"no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no",0,0.5,"no garden","double","other","other","pasteur","Very Old",3,"Low"
110,"2","yes","3","none",83,"good condition / liveable","1","independent",645000,"no","no","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,0,"no garden","double","other","wood","navigli - darsena","Old",4,"Low"
232,"3+","yes","5","garage/box and shared",200,"excellent / refurbished","3","independent",980000,"no","no","no","yes","no","no","yes","no","no","no","no","no","yes","yes","yes","no",0,0.5,"no garden","double","other","other","san siro","Modern",5,"Med"
41,"1","no","1","none",100,"excellent / refurbished","mezzanine","central",95000,"no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no",0,0,"shared","other","other","other","roserio","Old",3,"Med"
60,"1","yes","2","none",25,"excellent / refurbished","semi-basement","independent",220000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no",0,0.5,"shared","double","other","other","cermenate - abbiategrasso","Old",4,"Low"
77,"1","yes","2","garage/box",150,"new / under construction","ground floor","independent",270000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",0,0,"private","double","triple","other","quinto romano","Recent/New",3,"High"
91,"1","no","2","none",93,"good condition / liveable","1","independent",299000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","no","yes","no","no",0,0,"no garden","single","other","other","san siro","Old",2,"Low"
172,"2","yes","5","none",500,"to be refurbished","5","central",890000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","double","other","wood","centrale","Modern",6,"Low"
60,"1","yes","2","none",150,"good condition / liveable","2","central",255000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",0.5,0,"no garden","single","other","other","greco - segnano","Old",5,"Low"
73,"1","yes","2","none",233,"to be refurbished","1","central",159000,"no","no","no","yes","no","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","single","other","wood","baggio","Old",4,"Low"
65,"1","yes","3","none",291,"good condition / liveable","4","independent",365000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","no","no","no",0.5,0,"shared","double","other","wood","gambara","Old",4,"Low"
54,"1","yes","2","none",138,"good condition / liveable","6","central",209000,"no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",0,0,"no garden","single","other","other","niguarda","Old",6,"Low"
106,"1","no","4","garage/box and shared",208,"to be refurbished","1","central",285000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","double","other","wood","ortica","Modern",4,"Low"
85,"1","no","2","none",100,"excellent / refurbished","mezzanine","central",265000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no",0,0,"no garden","double","other","other","corvetto","Old",2,"Med"
168,"2","yes","4","none",700,"new / under construction","5","central",1690000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",1,0,"shared","double","other","other","san vittore","Recent/New",8,"High"
115,"2","yes","3","none",0,"new / under construction","3","central",909000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",0,0,"no garden","other","other","other","buenos aires","Very Old",4,"Low"
140,"2","yes","4","none",65,"excellent / refurbished","1","central",590000,"no","no","yes","yes","yes","no","no","yes","no","no","yes","no","yes","yes","no","no",0,0,"no garden","single","other","wood","bignami - ponale","Recent/New",14,"High"
80,"1","yes","3","none",220,"excellent / refurbished","mezzanine","central",715000,"no","no","yes","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no",1,0,"no garden","single","other","other","san vittore","Old",6,"Med"
90,"1","yes","3","garage/box",250,"good condition / liveable","1","central",242000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0,0,"shared","double","other","other","gallaratese","Modern",14,"Med"
38,"1","no","2","none",100,"good condition / liveable","mezzanine","central",185000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,1,"no garden","single","other","other","certosa","Old",3,"Low"
65,"1","yes","2","none",188,"excellent / refurbished","8","central",385000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no",0,1,"no garden","other","other","other","tripoli - soderini","Old",8,"Low"
80,"1","yes","2","garage/box",0,"excellent / refurbished","7","central",269000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",1,0,"shared","single","triple","other","bologna - sulmona","Recent/New",7,"Low"
107,"2","yes","4","shared",260,"good condition / liveable","1","central",3e+05,"no","no","no","yes","no","no","yes","yes","no","no","no","no","no","yes","yes","no",1,1,"shared","single","other","other","gallaratese","Modern",7,"Med"
80,"1","no","3","none",250,"good condition / liveable","3","central",299000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no",0,0.5,"no garden","double","other","other","lodi - brenta","Old",4,"Med"
47,"1","yes","2","none",100,"excellent / refurbished","1","independent",299800,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no",0,1,"shared","double","other","wood","lodi - brenta","Recent/New",2,"High"
58,"1","no","2","none",208,"new / under construction","ground floor","central",369000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no",0,0,"no garden","other","other","other","porta romana - medaglie d'oro","Recent/New",5,"Med"
85,"1","yes","3","none",180,"excellent / refurbished","1","central",342000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",1,0.5,"shared","single","other","other","tre castelli - faenza","Old",8,"Low"
65,"2","yes","3","none",270,"excellent / refurbished","2","central",365000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","yes","no",0,0.5,"no garden","single","other","other","corvetto","Modern",8,"Med"
120,"2","yes","3","garage/box",280,"excellent / refurbished","ground floor","central",375000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","yes","yes","no",0,0.5,"no garden","single","other","wood","ghisolfa - mac mahon","Old",3,"Low"
70,"1","no","2","none",100,"new / under construction","1","independent",245000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","no","no","yes","no",0,0,"shared","double","other","other","tre castelli - faenza","Recent/New",1,"High"
96,"1","yes","3","garage/box",133,"excellent / refurbished","1","independent",634000,"no","no","yes","yes","yes","no","yes","no","no","no","yes","no","no","yes","no","no",0,0,"shared","other","other","wood","lodi - brenta","Recent/New",7,"High"
150,"2","yes","3","garage/box",370,"excellent / refurbished","7","central",950000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",1,0.5,"no garden","double","other","wood","gambara","Modern",8,"Low"
45,"1","no","2","none",125,"excellent / refurbished","2","independent",246000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","no","yes","no","no",0.5,0,"no garden","single","other","other","parco trotter","Very Old",5,"Med"
74,"1","yes","2","none",250,"good condition / liveable","2","central",335000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0.5,0,"no garden","double","other","other","udine","Old",6,"Low"
86,"1","no","3","none",208,"excellent / refurbished","1","central",355000,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no",0,1,"no garden","other","other","other","precotto","Old",2,"Low"
40,"1","yes","1","garage/box",150,"new / under construction","1","independent",262000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","no","no","no","no",0,0,"no garden","single","triple","wood","monte rosa - lotto","Recent/New",1,"High"
48,"1","no","2","shared",110,"excellent / refurbished","1","central",219000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,1,"shared","single","other","other","villa san giovanni","Modern",4,"Low"
95,"2","yes","3","garage/box",160,"good condition / liveable","6","central",264000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0,0.5,"shared","double","other","other","cantalupa - san paolo","Modern",8,"Low"
149,"2","yes","4","garage/box",362,"good condition / liveable","5","central",695000,"no","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no",1,0,"shared","double","other","wood","udine","Modern",6,"Low"
160,"2","yes","4","garage/box",400,"excellent / refurbished","2","central",1350000,"no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","yes","yes","no",1,0.5,"no garden","double","other","other","dezza","Very Old",8,"Low"
30,"1","no","1","none",50,"to be refurbished","1","central",107000,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no",0,0,"no garden","other","other","other","ortica","Old",2,"Low"
65,"1","yes","2","none",111,"excellent / refurbished","ground floor","independent",4e+05,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","no","yes","no",0,1,"no garden","double","other","other","isola","Very Old",4,"Low"
100,"2","yes","3","none",200,"excellent / refurbished","1","central",760000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","double","other","wood","sempione","Very Old",6,"Med"
50,"1","yes","2","none",85,"excellent / refurbished","1","independent",349000,"yes","no","no","no","yes","no","yes","yes","no","no","no","no","yes","no","no","no",1,1,"shared","double","other","other","corso san gottardo","Very Old",4,"Med"
67,"1","yes","3","none",175,"good condition / liveable","4","central",459000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no",1,0.5,"shared","single","other","other","lodi - brenta","Modern",8,"Low"
165,"3","yes","5+","garage/box",450,"good condition / liveable","2","central",1350000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0.5,0,"shared","double","other","other","montenero","Modern",4,"Med"
700,"3+","no","5+","garage/box and shared",200,"good condition / liveable","ground floor","independent",1900000,"yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","no","yes","yes","yes","no",0,0,"private","double","other","other","gallaratese","Modern",1,"Low"
49,"1","yes","2","none",80,"excellent / refurbished","4","central",230000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","no","yes","no","no",0,0,"no garden","single","other","other","certosa","Old",4,"Low"
255,"3","yes","4","none",1665,"excellent / refurbished","4","central",1980000,"yes","no","yes","yes","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",1,0,"no garden","single","other","wood","arco della pace","Modern",5,"Low"
50,"1","no","2","none",100,"good condition / liveable","1","independent",198000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","yes","yes","no",0,1,"shared","double","other","other","turro","Old",4,"Low"
48,"1","no","2","none",100,"excellent / refurbished","2","independent",340000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","yes","yes","no",0.5,1,"shared","double","other","other","cadore","Very Old",6,"Low"
41,"1","yes","2","none",160,"excellent / refurbished","2","independent",360000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0.5,0.5,"no garden","single","other","other","indipendenza","Very Old",5,"Low"
50,"1","no","2","none",100,"excellent / refurbished","1","independent",415000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","single","other","other","turati","Very Old",4,"Low"
115,"1","yes","3","none",370,"excellent / refurbished","1","central",315000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",0,0.5,"shared","double","other","other","chiesa rossa","Old",5,"Low"
150,"2","yes","4","garage/box",500,"to be refurbished","6","central",795000,"no","no","no","yes","yes","no","yes","yes","no","no","no","no","no","yes","no","no",1,0,"shared","double","other","other","bande nere","Modern",7,"Low"
64,"1","yes","2","none",150,"excellent / refurbished","ground floor","central",458000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","no","no","no","no",1,1,"shared","double","other","other","amendola - buonarroti","Modern",4,"Med"
112,"2","yes","3","garage/box",80,"new / under construction","ground floor","independent",490500,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","no","yes","no","no",0,0,"private","single","other","other","quartiere forlanini","Recent/New",7,"High"
139,"3","yes","4","none",216,"new / under construction","1","central",759000,"no","no","yes","yes","yes","no","no","yes","no","no","no","no","no","no","no","no",0,0,"no garden","other","other","other","bisceglie","Recent/New",6,"High"
77,"1","yes","3","none",80,"new / under construction","2","independent",619000,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no",0,0,"no garden","double","triple","other","sempione","Recent/New",2,"High"
35,"1","yes","1","none",150,"excellent / refurbished","semi-basement","central",177000,"no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no",0,1,"no garden","single","other","other","gambara","Old",5,"Med"
43,"1","yes","2","none",150,"excellent / refurbished","mezzanine","central",435000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no",1,0,"shared","single","other","other","repubblica","Modern",10,"Low"
50,"1","yes","2","none",0,"new / under construction","3","independent",370000,"no","no","yes","yes","yes","no","no","yes","no","no","no","no","no","no","no","no",0,0,"no garden","double","other","other","dergano","Recent/New",3,"High"
